"GEO_ID","NAME","P009001","P009002","P009003","P009004","P009005","P009006","P009007"
"id","Label for GEO_ID","Total races tallied","Total races tallied!!White alone or in combination with one or more other races","Total races tallied!!Black or African American alone or in combination with one or more other races","Total races tallied!!American Indian and Alaska Native alone or in combination with one or more other races","Total races tallied!!Asian alone or in combination with one or more other races","Total races tallied!!Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races","Total races tallied!!Some other race alone or in combination with one or more other races"
"0500000US01001","Autauga County, Alabama","44093","35589","7549","410","297","25","223"
"0500000US01003","Baldwin County, Alabama","141929","123709","14722","1614","750","68","1066"
"0500000US01005","Barbour County, Alabama","29271","15026","13550","221","143","18","313"
"0500000US01007","Bibb County, Alabama","20935","16064","4651","115","25","4","76"
"0500000US01009","Blount County, Alabama","51566","48993","664","560","132","23","1194"
"0500000US01011","Bullock County, Alabama","11804","3008","8613","84","40","3","56"
"0500000US01013","Butler County, Alabama","21491","12558","8773","84","47","3","26"
"0500000US01015","Calhoun County, Alabama","113406","89475","21142","939","855","128","867"
"0500000US01017","Chambers County, Alabama","36812","22433","14030","161","101","10","77"
"0500000US01019","Cherokee County, Alabama","24208","22451","1381","178","67","18","113"
"0500000US01021","Chilton County, Alabama","39887","34578","4259","269","113","11","657"
"0500000US01023","Choctaw County, Alabama","15996","8832","7066","53","11","6","28"
"0500000US01025","Clarke County, Alabama","28012","15685","12065","128","62","7","65"
"0500000US01027","Clay County, Alabama","14372","11884","2259","122","23","5","79"
"0500000US01029","Cleburne County, Alabama","14235","13485","536","111","33","3","67"
"0500000US01031","Coffee County, Alabama","44379","34239","8234","737","575","70","524"
"0500000US01033","Colbert County, Alabama","55499","45236","9313","478","188","28","256"
"0500000US01035","Conecuh County, Alabama","14183","7883","6160","79","31","10","20"
"0500000US01037","Coosa County, Alabama","12316","7893","4197","100","13","2","111"
"0500000US01039","Covington County, Alabama","37873","32656","4688","323","95","12","99"
"0500000US01041","Crenshaw County, Alabama","13763","10169","3424","105","24","2","39"
"0500000US01043","Cullman County, Alabama","78319","75743","829","809","224","43","671"
"0500000US01045","Dale County, Alabama","50251","37404","10309","721","803","145","869"
"0500000US01047","Dallas County, Alabama","46657","16665","29472","138","201","36","145"
"0500000US01049","DeKalb County, Alabama","65510","60633","1154","1208","178","55","2282"
"0500000US01051","Elmore County, Alabama","66626","51338","13814","663","362","36","413"
"0500000US01053","Escambia County, Alabama","38881","25143","11922","1441","140","16","219"
"0500000US01055","Etowah County, Alabama","104495","86588","15464","826","569","82","966"
"0500000US01057","Fayette County, Alabama","18593","16160","2237","83","37","2","74"
"0500000US01059","Franklin County, Alabama","31532","28270","1368","233","64","46","1551"
"0500000US01061","Geneva County, Alabama","25951","22611","2772","316","53","13","186"
"0500000US01063","Greene County, Alabama","10002","1918","8032","18","17","1","16"
"0500000US01065","Hale County, Alabama","17298","6910","10193","65","47","11","72"
"0500000US01067","Henry County, Alabama","16433","10813","5308","90","34","5","183"
"0500000US01069","Houston County, Alabama","89666","65558","22119","724","689","51","525"
"0500000US01071","Jackson County, Alabama","55023","50591","2125","1835","178","27","267"
"0500000US01073","Jefferson County, Alabama","667806","388697","262636","3555","7159","419","5340"
"0500000US01075","Lamar County, Alabama","15988","13887","1934","64","14","3","86"
"0500000US01077","Lauderdale County, Alabama","88693","78390","8842","583","386","35","457"
