govid,year,fips,county.x,state,seats_total,seats_dem,seats_rep,source,seats_oth,elecdate,demshare_council,abb,seats_tot,partisan_prop,duplicate,demshare_council2,dem_control,govid_state,govid_county,county.y,fips_state,fips_county,interpolation_gap,population_actual,population_est
10001,1990,12001,Aluacha,Florida,5,4,1,CW_newspapers,NA,NA,0.8,Florida,5,1,FALSE,0.8,1,10,1,ALACHUA,12,1,4,181596,181596
10001,1991,12001,Aluacha,Florida,5,4,1,CW_newspapers,NA,NA,0.8,Florida,5,1,FALSE,0.8,1,10,1,ALACHUA,12,1,NA,NA,183549.25
10001,1992,12001,Aluacha,Florida,5,4,1,CW_newspapers,NA,NA,0.8,Florida,5,1,FALSE,0.8,1,10,1,ALACHUA,12,1,NA,NA,185502.5
10001,1993,12001,Aluacha,Florida,5,5,0,CW_newspapers,NA,NA,1,Florida,5,1,FALSE,1,1,10,1,ALACHUA,12,1,NA,NA,187455.75
10001,1994,12001,Aluacha,Florida,5,5,0,CW_newspapers,NA,NA,1,Florida,5,1,FALSE,1,1,10,1,ALACHUA,12,1,2,189409,189409
10001,1995,12001,Aluacha,Florida,5,5,0,CW_newspapers,NA,NA,1,Florida,5,1,FALSE,1,1,10,1,ALACHUA,12,1,NA,NA,192967
10001,1996,12001,Aluacha,Florida,5,5,0,CW_newspapers,NA,NA,1,Florida,5,1,FALSE,1,1,10,1,ALACHUA,12,1,2,196525,196525
10001,1997,12001,Aluacha,Florida,5,5,0,CW_newspapers,NA,NA,1,Florida,5,1,FALSE,1,1,10,1,ALACHUA,12,1,NA,NA,197593.5
10001,1998,12001,Aluacha,Florida,5,5,0,CW_newspapers,NA,NA,1,Florida,5,1,FALSE,1,1,10,1,ALACHUA,12,1,2,198662,198662
10001,1999,12001,Aluacha,Florida,5,5,0,CW_newspapers,NA,NA,1,Florida,5,1,FALSE,1,1,10,1,ALACHUA,12,1,NA,NA,208308.5
10001,2000,12001,Aluacha,Florida,5,5,0,CW_newspapers,NA,NA,1,Florida,5,1,FALSE,1,1,10,1,ALACHUA,12,1,2,217955,217955
10001,2001,12001,Aluacha,Florida,5,5,0,CW_newspapers,NA,NA,1,Florida,5,1,FALSE,1,1,10,1,ALACHUA,12,1,NA,NA,220104.5
10001,2002,12001,Aluacha,Florida,5,5,0,CW_newspapers,NA,NA,1,Florida,5,1,FALSE,1,1,10,1,ALACHUA,12,1,3,222254,222254
10001,2003,12001,Aluacha,Florida,5,5,0,RP,0,NA,1,FL,5,1,FALSE,1,1,10,1,ALACHUA,12,1,NA,NA,222786.6667
10001,2004,12001,Aluacha,Florida,5,5,0,RP,0,NA,1,FL,5,1,FALSE,1,1,10,1,ALACHUA,12,1,NA,NA,223319.3333
10001,2005,12001,Aluacha,Florida,5,5,0,RP,0,NA,1,FL,5,1,FALSE,1,1,10,1,ALACHUA,12,1,1,223852,223852
10001,2006,12001,Aluacha,Florida,5,5,0,RP,0,NA,1,FL,5,1,FALSE,1,1,10,1,ALACHUA,12,1,1,227120,227120
10001,2007,12001,Aluacha,Florida,5,5,0,RP,0,NA,1,FL,5,1,FALSE,1,1,10,1,ALACHUA,12,1,3,240082,240082
10001,2008,12001,Aluacha,Florida,5,5,0,RP,0,NA,1,FL,5,1,FALSE,1,1,10,1,ALACHUA,12,1,NA,NA,242500
10001,2009,12001,Aluacha,Florida,5,5,0,RP,0,NA,1,FL,5,1,FALSE,1,1,10,1,ALACHUA,12,1,NA,NA,244918
10001,2010,12001,Aluacha,Florida,5,5,0,RP,0,NA,1,FL,5,1,FALSE,1,1,10,1,ALACHUA,12,1,6,247336,247336
10001,2011,12001,Aluacha,Florida,5,4,1,RP,0,NA,0.8,FL,5,1,FALSE,0.8,1,10,1,ALACHUA,12,1,NA,NA,250029.3333
10001,2012,12001,Aluacha,Florida,5,4,1,RP,0,NA,0.8,FL,5,1,FALSE,0.8,1,10,1,ALACHUA,12,1,NA,NA,252722.6667
10001,2013,12001,Aluacha,Florida,5,4,1,RP,0,NA,0.8,FL,5,1,FALSE,0.8,1,10,1,ALACHUA,12,1,NA,NA,255416
10001,2014,12001,Aluacha,Florida,5,4,1,RP,0,NA,0.8,FL,5,1,FALSE,0.8,1,10,1,ALACHUA,12,1,NA,NA,258109.3333
10001,2015,12001,Aluacha,Florida,5,5,0,RP,0,NA,1,FL,5,1,FALSE,1,1,10,1,ALACHUA,12,1,NA,NA,260802.6667
10001,2016,12001,Aluacha,Florida,5,5,0,RP,0,NA,1,FL,5,1,FALSE,1,1,10,1,ALACHUA,12,1,NA,263496,263496
10003,2001,12005,Bay County,Florida,5,3,2,CW_newspapers,NA,NA,0.6,Florida,5,1,FALSE,0.6,1,10,3,BAY,12,5,NA,NA,150059
10003,2002,12005,Bay County,Florida,5,3,2,CW_newspapers,NA,NA,0.6,Florida,5,1,FALSE,0.6,1,10,3,BAY,12,5,3,151901,151901
10003,2003,12005,Bay,Florida,5,3,2,RP,0,NA,0.6,FL,5,1,FALSE,0.6,1,10,3,BAY,12,5,NA,NA,155120
10003,2004,12005,Bay,Florida,5,3,2,RP,0,NA,0.6,FL,5,1,FALSE,0.6,1,10,3,BAY,12,5,NA,NA,158339
10003,2005,12005,Bay,Florida,5,1,4,RP,0,NA,0.2,FL,5,1,FALSE,0.2,0,10,3,BAY,12,5,1,161558,161558
10003,2006,12005,Bay,Florida,5,1,4,RP,0,NA,0.2,FL,5,1,FALSE,0.2,0,10,3,BAY,12,5,1,163505,163505
10003,2007,12005,Bay,Florida,5,0,5,RP,0,NA,0,FL,5,1,FALSE,0,0,10,3,BAY,12,5,3,163984,163984
10003,2008,12005,Bay,Florida,5,0,5,RP,0,NA,0,FL,5,1,FALSE,0,0,10,3,BAY,12,5,NA,NA,165606.6667
10003,2009,12005,Bay,Florida,5,0,5,RP,0,NA,0,FL,5,1,FALSE,0,0,10,3,BAY,12,5,NA,NA,167229.3333
10003,2010,12005,Bay,Florida,5,0,5,RP,0,NA,0,FL,5,1,FALSE,0,0,10,3,BAY,12,5,6,168852,168852
10003,2011,12005,Bay,Florida,5,0,5,RP,0,NA,0,FL,5,1,FALSE,0,0,10,3,BAY,12,5,NA,NA,171372.3333
10003,2012,12005,Bay,Florida,5,0,5,RP,0,NA,0,FL,5,1,FALSE,0,0,10,3,BAY,12,5,NA,NA,173892.6667
10003,2013,12005,Bay,Florida,5,0,5,RP,0,NA,0,FL,5,1,FALSE,0,0,10,3,BAY,12,5,NA,NA,176413
10003,2014,12005,Bay,Florida,5,0,5,RP,0,NA,0,FL,5,1,FALSE,0,0,10,3,BAY,12,5,NA,NA,178933.3333
10005,1989,12009,Brevard County,Florida,5,0,5,CW_newspapers,NA,NA,0,Florida,5,1,FALSE,0,0,10,5,BREVARD,12,9,NA,NA,393639
10005,1990,12009,Brevard County,Florida,5,0,5,CW_newspapers,NA,NA,0,Florida,5,1,FALSE,0,0,10,5,BREVARD,12,9,4,398978,398978
10005,1991,12009,Brevard County,Florida,5,1,4,CW_newspapers,NA,NA,0.2,Florida,5,1,FALSE,0.2,0,10,5,BREVARD,12,9,NA,NA,405624.25
10005,1992,12009,Brevard County,Florida,5,1,4,CW_newspapers,NA,NA,0.2,Florida,5,1,FALSE,0.2,0,10,5,BREVARD,12,9,NA,NA,412270.5
10005,1993,12009,Brevard County,Florida,5,2,3,CW_newspapers,NA,NA,0.4,Florida,5,1,FALSE,0.4,0,10,5,BREVARD,12,9,NA,NA,418916.75
10005,1994,12009,Brevard County,Florida,5,2,3,CW_newspapers,NA,NA,0.4,Florida,5,1,FALSE,0.4,0,10,5,BREVARD,12,9,2,425563,425563
10005,1995,12009,Brevard County,Florida,5,1,4,CW_newspapers,NA,NA,0.2,Florida,5,1,FALSE,0.2,0,10,5,BREVARD,12,9,NA,NA,439780.5
10005,1996,12009,Brevard County,Florida,5,1,4,CW_newspapers,NA,NA,0.2,Florida,5,1,FALSE,0.2,0,10,5,BREVARD,12,9,2,453998,453998
10005,2003,12009,Brevard County,FL,5,1,4,OC,0,NA,0.2,FL,5,1,FALSE,0.2,0,10,5,BREVARD,12,9,NA,NA,507467.3333
10005,2004,12009,Brevard County,FL,5,1,4,OC,0,NA,0.2,FL,5,1,FALSE,0.2,0,10,5,BREVARD,12,9,NA,NA,519358.6667
10005,2005,12009,Brevard County,FL,5,0,5,OC,0,NA,0,FL,5,1,FALSE,0,0,10,5,BREVARD,12,9,1,531250,531250
10005,2006,12009,Brevard County,FL,5,0,5,OC,0,NA,0,FL,5,1,FALSE,0,0,10,5,BREVARD,12,9,1,534359,534359
10005,2007,12009,Brevard County,FL,5,0,5,OC,0,NA,0,FL,5,1,FALSE,0,0,10,5,BREVARD,12,9,3,536161,536161
10005,2008,12009,Brevard County,FL,5,0,5,OC,0,NA,0,FL,5,1,FALSE,0,0,10,5,BREVARD,12,9,NA,NA,538566
10005,2009,12009,Brevard County,FL,5,1,4,OC,0,NA,0.2,FL,5,1,FALSE,0.2,0,10,5,BREVARD,12,9,NA,NA,540971
10005,2010,12009,Brevard County,FL,5,1,4,OC,0,NA,0.2,FL,5,1,FALSE,0.2,0,10,5,BREVARD,12,9,6,543376,543376
10005,2011,12009,Brevard County,FL,5,1,4,OC,0,NA,0.2,FL,5,1,FALSE,0.2,0,10,5,BREVARD,12,9,NA,NA,549335
10005,2012,12009,Brevard County,FL,5,1,4,OC,0,NA,0.2,FL,5,1,FALSE,0.2,0,10,5,BREVARD,12,9,NA,NA,555294
10005,2013,12009,Brevard County,FL,5,1,4,OC,0,NA,0.2,FL,5,1,FALSE,0.2,0,10,5,BREVARD,12,9,NA,NA,561253
10005,2014,12009,Brevard County,FL,5,1,4,OC,0,NA,0.2,FL,5,1,FALSE,0.2,0,10,5,BREVARD,12,9,NA,NA,567212
10006,1989,12011,Broward County,FL,7,6,1,CW_newspapers,NA,NA,0.857142857,FL,7,1,FALSE,0.857142857,1,10,6,BROWARD,12,11,NA,NA,1221244
10006,1990,12011,Broward County,FL,7,6,1,CW_newspapers,NA,NA,0.857142857,FL,7,1,FALSE,0.857142857,1,10,6,BROWARD,12,11,4,1255488,1255488
10006,1991,12011,Broward County,FL,7,6,1,CW_newspapers,NA,NA,0.857142857,FL,7,1,FALSE,0.857142857,1,10,6,BROWARD,12,11,NA,NA,1287363.5
10006,1992,12011,Broward County,FL,7,6,1,CW_newspapers,NA,NA,0.857142857,FL,7,1,FALSE,0.857142857,1,10,6,BROWARD,12,11,NA,NA,1319239
10006,1993,12011,Broward County,FL,7,7,0,CW_newspapers,NA,NA,1,FL,7,1,FALSE,1,1,10,6,BROWARD,12,11,NA,NA,1351114.5
10006,1994,12011,Broward County,FL,7,7,0,CW_newspapers,NA,NA,1,FL,7,1,FALSE,1,1,10,6,BROWARD,12,11,2,1382990,1382990
10006,1995,12011,Broward County,FL,7,7,0,CW_newspapers,NA,NA,1,FL,7,1,FALSE,1,1,10,6,BROWARD,12,11,NA,NA,1410609
10006,1996,12011,Broward County,FL,7,7,0,CW_newspapers,NA,NA,1,FL,7,1,FALSE,1,1,10,6,BROWARD,12,11,2,1438228,1438228
10006,1997,12011,Broward County,FL,7,7,0,CW_newspapers,NA,NA,1,FL,7,1,FALSE,1,1,10,6,BROWARD,12,11,NA,NA,1470817.5
10006,1998,12011,Broward County,FL,7,7,0,CW_newspapers,NA,NA,1,FL,7,1,FALSE,1,1,10,6,BROWARD,12,11,2,1503407,1503407
10006,1999,12011,Broward County,FL,7,7,0,CW_newspapers,NA,NA,1,FL,7,1,FALSE,1,1,10,6,BROWARD,12,11,NA,NA,1563212.5
10006,2000,12011,Broward County,FL,7,7,0,CW_newspapers,NA,NA,1,FL,7,1,FALSE,1,1,10,6,BROWARD,12,11,2,1623018,1623018
10006,2001,12011,Broward County,FL,7,7,0,CW_newspapers,NA,NA,1,FL,7,1,FALSE,1,1,10,6,BROWARD,12,11,NA,NA,1666068
10006,2002,12011,Broward County,FL,7,7,0,CW_newspapers,NA,NA,1,FL,7,1,FALSE,1,1,10,6,BROWARD,12,11,3,1709118,1709118
10006,2003,12011,Broward County,FL,9,7,2,OC,0,NA,0.777777778,FL,9,1,FALSE,0.777777778,1,10,6,BROWARD,12,11,NA,NA,1731958
10006,2004,12011,Broward County,FL,9,8,1,OC,0,NA,0.888888889,FL,9,1,FALSE,0.888888889,1,10,6,BROWARD,12,11,NA,NA,1754798
10006,2005,12011,Broward County,FL,9,8,1,OC,0,NA,0.888888889,FL,9,1,FALSE,0.888888889,1,10,6,BROWARD,12,11,1,1777638,1777638
10006,2006,12011,Broward County,FL,9,8,1,OC,0,NA,0.888888889,FL,9,1,FALSE,0.888888889,1,10,6,BROWARD,12,11,1,1787636,1787636
10006,2007,12011,Broward County,FL,9,9,0,OC,0,NA,1,FL,9,1,FALSE,1,1,10,6,BROWARD,12,11,3,1759591,1759591
10006,2008,12011,Broward County,FL,9,9,0,OC,0,NA,1,FL,9,1,FALSE,1,1,10,6,BROWARD,12,11,NA,NA,1755749.333
10006,2009,12011,Broward County,FL,9,9,0,OC,0,NA,1,FL,9,1,FALSE,1,1,10,6,BROWARD,12,11,NA,NA,1751907.667
10006,2010,12011,Broward County,FL,9,8,1,OC,0,NA,0.888888889,FL,9,1,FALSE,0.888888889,1,10,6,BROWARD,12,11,6,1748066,1748066
10006,2011,12011,Broward County,FL,9,8,1,OC,0,NA,0.888888889,FL,9,1,FALSE,0.888888889,1,10,6,BROWARD,12,11,NA,NA,1774993.667
10006,2012,12011,Broward County,FL,9,8,1,OC,0,NA,0.888888889,FL,9,1,FALSE,0.888888889,1,10,6,BROWARD,12,11,NA,NA,1801921.333
10006,2013,12011,Broward County,FL,9,8,1,OC,0,NA,0.888888889,FL,9,1,FALSE,0.888888889,1,10,6,BROWARD,12,11,NA,NA,1828849
10006,2014,12011,Broward County,FL,9,8,1,OC,0,NA,0.888888889,FL,9,1,FALSE,0.888888889,1,10,6,BROWARD,12,11,NA,NA,1855776.667
10008,2000,12015,Charlotte,Florida,5,0,5,CW_newspapers,NA,NA,0,Florida,5,1,FALSE,0,0,10,8,CHARLOTTE,12,15,2,141627,141627
10008,2001,12015,Charlotte,Florida,5,0,5,CW_newspapers,NA,NA,0,Florida,5,1,FALSE,0,0,10,8,CHARLOTTE,12,15,NA,NA,145152.5
10008,2002,12015,Charlotte,Florida,5,0,5,CW_newspapers,NA,NA,0,Florida,5,1,FALSE,0,0,10,8,CHARLOTTE,12,15,3,148678,148678
10008,2003,12015,Charlotte,Florida,5,0,5,CW_newspapers,NA,NA,0,Florida,5,1,FALSE,0,0,10,8,CHARLOTTE,12,15,NA,NA,151630.6667
10008,2004,12015,Charlotte,Florida,5,0,5,CW_newspapers,NA,NA,0,Florida,5,1,FALSE,0,0,10,8,CHARLOTTE,12,15,NA,NA,154583.3333
10008,2005,12015,Charlotte,Florida,5,0,5,CW_newspapers,NA,NA,0,Florida,5,1,FALSE,0,0,10,8,CHARLOTTE,12,15,1,157536,157536
10008,2006,12015,Charlotte,Florida,5,0,5,CW_newspapers,NA,NA,0,Florida,5,1,FALSE,0,0,10,8,CHARLOTTE,12,15,1,154438,154438
10008,2007,12015,Charlotte,Florida,5,0,5,CW_newspapers,NA,NA,0,Florida,5,1,FALSE,0,0,10,8,CHARLOTTE,12,15,3,152814,152814
10008,2008,12015,Charlotte,Florida,5,0,5,CW_newspapers,NA,NA,0,Florida,5,1,FALSE,0,0,10,8,CHARLOTTE,12,15,NA,NA,155202
10008,2009,12015,Charlotte,Florida,5,0,5,CW_newspapers,NA,NA,0,Florida,5,1,FALSE,0,0,10,8,CHARLOTTE,12,15,NA,NA,157590
10008,2010,12015,Charlotte,Florida,5,0,5,CW_newspapers,NA,NA,0,Florida,5,1,FALSE,0,0,10,8,CHARLOTTE,12,15,6,159978,159978
10008,2011,12015,Charlotte,Florida,5,0,5,RP,0,NA,0,FL,5,1,FALSE,0,0,10,8,CHARLOTTE,12,15,NA,NA,163059.1667
10008,2012,12015,Charlotte,Florida,5,0,5,RP,0,NA,0,FL,5,1,FALSE,0,0,10,8,CHARLOTTE,12,15,NA,NA,166140.3333
10008,2013,12015,Charlotte,Florida,5,0,5,RP,0,NA,0,FL,5,1,FALSE,0,0,10,8,CHARLOTTE,12,15,NA,NA,169221.5
10008,2014,12015,Charlotte,Florida,5,0,5,RP,0,NA,0,FL,5,1,FALSE,0,0,10,8,CHARLOTTE,12,15,NA,NA,172302.6667
10008,2015,12015,Charlotte,Florida,5,0,5,RP,0,NA,0,FL,5,1,FALSE,0,0,10,8,CHARLOTTE,12,15,NA,NA,175383.8333
10008,2016,12015,Charlotte,Florida,5,0,5,RP,0,NA,0,FL,5,1,FALSE,0,0,10,8,CHARLOTTE,12,15,NA,178465,178465
