State,County,Winning Party,Dem. Candidate (1982),Dem. Votes,Dem. %,Rep. Candidate (1982),Rep. Votes,Rep. %,Highest Other (1982),Other Votes,Other %,Year
AK,Election District 1,D,"Sheffield, Bill",6531,73.8,"Fink, Tom",1292,14.6,"Scattered Write-Ins,",1021,11.5,1982
AK,Election District 2,D,"Sheffield, Bill",3526,74.7,"Fink, Tom",588,12.5,"Scattered Write-Ins,",604,12.8,1982
AK,Election District 3,D,"Sheffield, Bill",3705,73,"Fink, Tom",507,10,"Scattered Write-Ins,",861,17,1982
AK,Election District 4,D,"Sheffield, Bill",13875,89.3,"Fink, Tom",758,4.9,"Scattered Write-Ins,",906,5.8,1982
AK,Election District 5,R,"Sheffield, Bill",2996,29.4,"Fink, Tom",4496,44.1,"Scattered Write-Ins,",2695,26.5,1982
AK,Election District 6,R,"Sheffield, Bill",1608,36.1,"Fink, Tom",1741,39.1,"Scattered Write-Ins,",1102,24.8,1982
AK,Election District 7,R,"Sheffield, Bill",1301,26.3,"Fink, Tom",2869,58,"Scattered Write-Ins,",778,15.7,1982
AK,Election District 8,R,"Sheffield, Bill",2636,26,"Fink, Tom",6251,61.8,"Scattered Write-Ins,",1236,12.2,1982
AK,Election District 9,R,"Sheffield, Bill",2431,28,"Fink, Tom",5168,59.5,"Scattered Write-Ins,",1094,12.6,1982
AK,Election District 10,R,"Sheffield, Bill",2851,31,"Fink, Tom",5121,55.6,"Scattered Write-Ins,",1233,13.4,1982
AK,Election District 11,R,"Sheffield, Bill",2794,31,"Fink, Tom",4886,54.2,"Scattered Write-Ins,",1334,14.8,1982
AK,Election District 12,R,"Sheffield, Bill",3925,41.8,"Fink, Tom",4148,44.2,"Scattered Write-Ins,",1306,13.9,1982
AK,Election District 13,R,"Sheffield, Bill",2839,33.8,"Fink, Tom",4314,51.3,"Scattered Write-Ins,",1254,14.9,1982
AK,Election District 14,R,"Sheffield, Bill",2972,29.8,"Fink, Tom",5713,57.3,"Scattered Write-Ins,",1279,12.8,1982
AK,Election District 15,R,"Sheffield, Bill",2455,25.2,"Fink, Tom",5852,60,"Scattered Write-Ins,",1443,14.8,1982
AK,Election District 16,R,"Sheffield, Bill",1968,17.1,"Fink, Tom",7073,61.6,"Scattered Write-Ins,",2444,21.3,1982
AK,Election District 17,D,"Sheffield, Bill",1863,38.8,"Fink, Tom",1533,31.9,"Scattered Write-Ins,",1405,29.3,1982
AK,Election District 18,D,"Sheffield, Bill",1790,36.4,"Fink, Tom",1396,28.4,"Scattered Write-Ins,",1729,35.2,1982
AK,Election District 19,D,"Sheffield, Bill",2403,43.7,"Fink, Tom",1381,25.1,"Scattered Write-Ins,",1720,31.3,1982
AK,Election District 20,D,"Sheffield, Bill",4700,47.6,"Fink, Tom",2437,24.7,"Scattered Write-Ins,",2747,27.8,1982
AK,Election District 21,D,"Sheffield, Bill",3162,52.7,"Fink, Tom",1379,23,"Scattered Write-Ins,",1460,24.3,1982
AK,Election District 22,D,"Sheffield, Bill",3138,79.8,"Fink, Tom",435,11.1,"Scattered Write-Ins,",361,9.2,1982
AK,Election District 23,D,"Sheffield, Bill",3195,82.4,"Fink, Tom",397,10.2,"Scattered Write-Ins,",284,7.3,1982
AK,Election District 24,D,"Sheffield, Bill",3112,74.4,"Fink, Tom",462,11.1,"Scattered Write-Ins,",606,14.5,1982
AK,Election District 25,D,"Sheffield, Bill",3688,87.5,"Fink, Tom",298,7.1,"Scattered Write-Ins,",227,5.4,1982
AK,Election District 26,D,"Sheffield, Bill",2553,66,"Fink, Tom",695,18,"Scattered Write-Ins,",621,16.1,1982
AK,Election District 27,D,"Sheffield, Bill",1901,48.4,"Fink, Tom",1101,28,"Scattered Write-Ins,",926,23.6,1982
AL,AUTAUGA,D,"Wallace, George",5158,52.7,"Folmar, Emory",4304,43.9,"Scattered Write-Ins,",333,3.4,1982
AL,BALDWIN,D,"Wallace, George",12090,48.9,"Folmar, Emory",11955,48.3,"Scattered Write-Ins,",689,2.8,1982
