State,County,Winning Party,Dem. Candidate (1982),Dem. Votes,Dem. %,Rep. Candidate (1982),Rep. Votes,Rep. %,Highest Other (1982),Other Votes,Other %,Year
AZ,APACHE,D,"DeConcini, Dennis",6455,70.1,"Dunn, Pete",2517,27.3,"Scattered Write-Ins,",239,2.6,1982
AZ,COCHISE,D,"DeConcini, Dennis",12907,64.2,"Dunn, Pete",6787,33.7,"Scattered Write-Ins,",419,2.1,1982
AZ,COCONINO,D,"DeConcini, Dennis",13888,65.2,"Dunn, Pete",6517,30.6,"Scattered Write-Ins,",903,4.2,1982
AZ,GILA,D,"DeConcini, Dennis",7721,65.7,"Dunn, Pete",3812,32.4,"Scattered Write-Ins,",219,1.9,1982
AZ,GRAHAM,D,"DeConcini, Dennis",3994,60.4,"Dunn, Pete",2517,38.1,"Scattered Write-Ins,",99,1.5,1982
AZ,GREENLEE,D,"DeConcini, Dennis",2630,81.1,"Dunn, Pete",575,17.7,"Scattered Write-Ins,",39,1.2,1982
AZ,MARICOPA,D,"DeConcini, Dennis",199671,51.1,"Dunn, Pete",180917,46.3,"Scattered Write-Ins,",10284,2.6,1982
AZ,MOHAVE,D,"DeConcini, Dennis",9799,53.8,"Dunn, Pete",8057,44.2,"Scattered Write-Ins,",352,1.9,1982
AZ,NAVAJO,D,"DeConcini, Dennis",8223,58.9,"Dunn, Pete",5437,39,"Scattered Write-Ins,",297,2.1,1982
AZ,PIMA,D,"DeConcini, Dennis",104764,66.5,"Dunn, Pete",47041,29.9,"Scattered Write-Ins,",5694,3.6,1982
AZ,PINAL,D,"DeConcini, Dennis",14316,67.5,"Dunn, Pete",6474,30.5,"Scattered Write-Ins,",426,2,1982
AZ,SANTA CRUZ,D,"DeConcini, Dennis",3162,66.7,"Dunn, Pete",1460,30.8,"Scattered Write-Ins,",122,2.6,1982
AZ,YAVAPAI,R,"DeConcini, Dennis",12582,47.7,"Dunn, Pete",13036,49.4,"Scattered Write-Ins,",759,2.9,1982
AZ,YUMA,D,"DeConcini, Dennis",11858,63.2,"Dunn, Pete",6602,35.2,"Scattered Write-Ins,",314,1.7,1982
CA,ALAMEDA,D,"Brown, Edmund",226780,58.7,"Wilson, Pete",144195,37.3,"Scattered Write-Ins,",15665,4.1,1982
CA,ALPINE,R,"Brown, Edmund",148,36.6,"Wilson, Pete",235,58.2,"Scattered Write-Ins,",21,5.2,1982
CA,AMADOR,R,"Brown, Edmund",3793,37.4,"Wilson, Pete",5861,57.7,"Scattered Write-Ins,",496,4.9,1982
CA,BUTTE,R,"Brown, Edmund",20026,32.4,"Wilson, Pete",38803,62.8,"Scattered Write-Ins,",2989,4.8,1982
CA,CALAVERAS,R,"Brown, Edmund",3218,33.8,"Wilson, Pete",5623,59.1,"Scattered Write-Ins,",678,7.1,1982
CA,COLUSA,R,"Brown, Edmund",1435,31.1,"Wilson, Pete",2953,63.9,"Scattered Write-Ins,",230,5,1982
CA,CONTRA COSTA,R,"Brown, Edmund",110813,44,"Wilson, Pete",131875,52.3,"Scattered Write-Ins,",9352,3.7,1982
