STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CSAFP,CBSAFP,METDIVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,HISTO_0,HISTO_11,HISTO_12,HISTO_21,HISTO_22,HISTO_23,HISTO_24,HISTO_31,HISTO_41,HISTO_42,HISTO_43,HISTO_52,HISTO_71,HISTO_81,HISTO_82,HISTO_90,HISTO_95
"31","039","00835841","31039",Cuming,Cuming County,"06",H1,G4020,,,,A,"1477645345","10690204","+41.9158651","-096.7885168","0","12356","0","51908","15448","1804","617","739","19893","1","91","56","137494","14650","1372982","17444","8250"
"53","069","01513275","53069",Wahkiakum,Wahkiakum County,"06",H1,G4020,,,,A,"680976231","61568965","+46.2946377","-123.4244583","0","63161","0","41169","7681","1076","149","1806","46287","387346","37403","82219","62062","22876","857","19829","51134"
"35","011","00933054","35011",De Baca,De Baca County,"06",H1,G4020,,,,A,"6016818946","29090018","+34.3592729","-104.3686961","0","8395","0","23695","3432","726","181","609","0","116","0","6078722","538869","852","40540","5386","16169"
"31","109","00835876","31109",Lancaster,Lancaster County,"06",H1,G4020,"339","30700",,A,"2169272970","22847034","+40.7835474","-096.6886584","0","32051","0","94859","121238","54783","24794","1150","116575","349","3072","765","628101","48175","1291161","7614","10979"
"31","129","00835886","31129",Nuckolls,Nuckolls County,"06",H1,G4020,,,,A,"1489645188","1718484","+40.1764918","-098.0468422","0","8760","0","50970","9410","1287","448","217","43858","0","125","3","575637","1769","955941","6626","2019"
"72","085","01804523","72085",Las Piedras,Las Piedras Municipio,"13",H1,G4020,"490","41980",,A,"87748418","32509","+18.1871483","-065.8711890","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"46","099","01265772","46099",Minnehaha,Minnehaha County,"06",H1,G4020,,"43620",,A,"2089701439","18188795","+43.6674723","-096.7957261","0","35494","0","132527","53858","30078","15066","5506","29323","25","1245","64","84482","298390","1612965","1174","41869"
"48","327","01383949","48327",Menard,Menard County,"06",H1,G4020,,,,A,"2336237980","613559","+30.8852677","-099.8588613","0","1835","0","18778","2610","648","102","19","12496","10237","37","2531557","1473","3199","9966","3300","257"
"06","091","00277310","06091",Sierra,Sierra County,"06",H1,G4020,,,,A,"2468694582","23299110","+39.5769252","-120.5219926","0","20876","4","34061","5465","1028","199","700","10269","1743868","13505","812320","61910","1628","2452","3294","57289"
"21","053","00516873","21053",Clinton,Clinton County,"06",H1,G4020,,,,A,"510875757","21152699","+36.7272577","-085.1360977","0","21442","0","19920","12753","2366","665","2076","258196","1419","56950","339","1265","202900","9153","1637","65"
"39","063","01074044","39063",Hancock,Hancock County,"06",H1,G4020,"534","22300",,A,"1376124980","6021322","+41.0002170","-083.6659471","0","9567","0","82498","48095","15291","6565","1777","94412","497","565","19","6408","16475","1242875","7166","3509"
"48","189","01383880","48189",Hale,Hale County,"06",H1,G4020,"352","38380",,A,"2602109423","246678","+34.0684364","-101.8228879","0","18810","0","102966","24645","6317","2818","419","344","5","0","4305","799691","2782","1919557","34","8822"
"01","027","00161539","01027",Clay,Clay County,"06",H1,G4020,,,,A,"1564255426","5281616","+33.2703999","-085.8635254","0","5250","0","67735","3808","934","237","1424","785070","431613","80570","55199","107608","186958","83","16828","614"
"48","011","01383791","48011",Armstrong,Armstrong County,"06",H1,G4020,"108","11100",,A,"2354617585","12183672","+34.9641790","-101.3566363","0","1498","0","35427","4942","367","64","9128","20769","168837","292","793246","1143068","16","432179","1347","18601"
"39","003","01074015","39003",Allen,Allen County,"06",H1,G4020,"338","30620",,A,"1042587389","11152061","+40.7716274","-084.1061032","0","10070","0","100130","65980","18657","11514","617","94366","740","867","1","8842","39919","812690","3397","3019"
"13","189","00348794","13189",McDuffie,McDuffie County,"06",H1,G4020,,"12260",,A,"666590014","23114032","+33.4806126","-082.4795333","0","23086","0","35131","12077","3258","1035","3200","120744","257257","67265","26786","60736","112953","5189","35856","1777"
"55","111","01581115","55111",Sauk,Sauk County,"06",H1,G4020,"357","12660",,A,"2153686013","45692969","+43.4280010","-089.9433184","0","33849","0","93096","49419","11184","4485","1500","766093","25739","101845","4945","9811","440727","752788","99808","48474"
"05","137","00069902","05137",Stone,Stone County,"06",H1,G4020,,,,A,"1570673294","8145444","+35.8570011","-092.1404819","0","9294","0","56113","10237","1082","335","5106","1066126","106709","197206","15183","22210","262755","1353","473","101"
"41","063","01155135","41063",Wallowa,Wallowa County,"06",H1,G4020,,,,A,"8147835333","14191752","+45.5937530","-117.1855796","0","22887","0","41322","7790","1268","96","191319","11","4353529","1738","1285499","2887598","96772","161997","7995","9113"
"42","007","01214112","42007",Beaver,Beaver County,"06",H1,G4020,"430","38300",,A,"1125854819","24162295","+40.6841401","-080.3507209","0","27160","0","138950","74769","32094","18386","2082","674437","2428","87683","320","6676","176209","31057","4416","1134"
"28","061","00695754","28061",Jasper,Jasper County,"06",H1,G4020,"279","29860",,A,"1751636189","3130850","+32.0167482","-089.1191761","0","13221","0","57046","14931","2073","530","1271","85175","526904","461294","172510","65928","211694","76","328270","8819"
"29","083","00758496","29083",Henry,Henry County,"06",H1,G4020,,,,A,"1805054746","91657543","+38.3864909","-093.7926278","0","105509","0","63642","20461","5071","1548","3661","359965","4692","16249","629","8318","971498","333836","142590","69820"
"08","109","00198170","08109",Saguache,Saguache County,"06",H1,G4020,,,,A,"8206547699","4454510","+38.0316514","-106.2346662","0","5169","0","28345","20220","3171","104","78143","566885","2749838","86703","3988188","733584","115781","297093","186861","263246"
"37","037","01008544","37037",Chatham,Chatham County,"06",H1,G4020,"450","20500",,A,"1765540358","70582736","+35.7049939","-079.2514542","0","79631","0","111022","21104","5206","1665","2698","591995","375003","340283","67318","58198","333514","22730","27027","2757"
"49","033","01448030","49033",Rich,Rich County,"06",H1,G4020,,,,A,"2664700959","149106532","+41.6275976","-111.2402269","0","167755","0","23597","3034","517","75","154","182002","206906","19817","2021677","170657","234756","25656","10801","59054"
"40","001","01101788","40001",Adair,Adair County,"06",H1,G4020,,,,A,"1486337779","8872711","+35.8980428","-094.6510258","0","3967","0","58332","6920","2052","820","971","934183","10269","61033","3188","26202","548543","0","4342","520"
"39","085","01074055","39085",Lake,Lake County,"06",H1,G4020,"184","17460",,A,"593807529","1942301385","+41.7781416","-081.1973297","34181","2123783","0","133569","131499","31429","10081","2363","212840","292","19099","749","18330","88039","3816","4246","3596"
"51","775","01789074","51775",Salem,Salem city,"25",C7,G4020,,"40220",,F,"37593968","275156","+37.2853329","-080.0552407","0","6","0","8637","14042","9225","3742","7","2664","156","2170","1","16","1426","1","0","0"
"51","121","01674630","51121",Montgomery,Montgomery County,"06",H1,G4020,,"13980",,A,"1001929082","6282286","+37.1755376","-080.3877942","0","4501","0","58298","58124","19866","5310","1051","516474","21338","175381","2885","3767","246443","6707","53","24"
"47","065","01639749","47065",Hamilton,Hamilton County,"06",H1,G4020,"174","16860",,A,"1404197532","86784458","+35.1634720","-085.2018432","0","96012","0","229171","141209","43255","25804","2373","629694","90450","120005","11018","17588","240336","698","7341","1678"
"35","035","00929104","35035",Otero,Otero County,"06",H1,G4020,,"10460",,A,"17126455954","36944199","+32.6155988","-105.7513079","0","1255","0","92086","29435","6260","1129","613200","4647","3317641","19","10965381","4013484","906","10312","8355","6332"
"35","003","00929108","35003",Catron,Catron County,"06",H1,G4020,,,,A,"17933561654","14193499","+33.9016208","-108.3919284","0","2568","0","44330","12764","1497","21","39874","18742","9800978","2063","7469965","2534834","249","30","6527","7503"
"01","091","00161572","01091",Marengo,Marengo County,"06",H1,G4020,,,,A,"2530155136","14951685","+32.2475911","-087.7910910","0","31510","0","76082","12730","3758","1212","4990","175497","633374","488669","154695","106670","487797","28033","603153","19712"
