STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CSAFP,CBSAFP,METDIVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,HISTO_0,HISTO_11,HISTO_12,HISTO_21,HISTO_22,HISTO_23,HISTO_24,HISTO_31,HISTO_41,HISTO_42,HISTO_43,HISTO_52,HISTO_71,HISTO_81,HISTO_82,HISTO_90,HISTO_95
"31","039","00835841","31039",Cuming,Cuming County,"06",H1,G4020,,,,A,"1477645345","10690204","+41.9158651","-096.7885168","0","13303","0","51983","15488","1907","690","1276","19707","1","89","65","121849","14177","1387466","17193","8539"
"53","069","01513275","53069",Wahkiakum,Wahkiakum County,"06",H1,G4020,,,,A,"680976231","61568965","+46.2946377","-123.4244583","0","63255","0","41183","7676","1087","152","1684","45538","331986","34593","156278","47493","22261","857","19731","51281"
"35","011","00933054","35011",De Baca,De Baca County,"06",H1,G4020,,,,A,"6016818946","29090018","+34.3592729","-104.3686961","0","16711","0","23717","3460","767","184","598","0","118","0","6115563","495800","785","44783","4877","10329"
"31","109","00835876","31109",Lancaster,Lancaster County,"06",H1,G4020,"339","30700",,A,"2169272970","22847034","+40.7835474","-096.6886584","0","32710","0","102139","128212","65313","29701","1110","115360","314","2970","972","563674","47424","1327021","7508","11238"
"31","129","00835886","31129",Nuckolls,Nuckolls County,"06",H1,G4020,,,,A,"1489645188","1718484","+40.1764918","-098.0468422","0","7786","0","50971","9408","1356","474","237","43796","0","125","16","532703","1660","999673","6658","2207"
"72","085","01804523","72085",Las Piedras,Las Piedras Municipio,"13",H1,G4020,"490","41980",,A,"87748418","32509","+18.1871483","-065.8711890","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"46","099","01265772","46099",Minnehaha,Minnehaha County,"06",H1,G4020,,"43620",,A,"2089701439","18188795","+43.6674723","-096.7957261","0","34458","0","134862","58153","39927","18100","4841","29670","15","1497","100","70805","273731","1633044","1248","41615"
"48","327","01383949","48327",Menard,Menard County,"06",H1,G4020,,,,A,"2336237980","613559","+30.8852677","-099.8588613","0","1883","0","18883","2739","767","134","18","12452","10110","34","2523144","5834","1972","15005","3316","223"
"06","091","00277310","06091",Sierra,Sierra County,"06",H1,G4020,,,,A,"2468694582","23299110","+39.5769252","-120.5219926","0","19289","4","34073","5467","1036","202","692","10086","1732397","13582","799489","86390","1429","4091","3273","57368"
"21","053","00516873","21053",Clinton,Clinton County,"06",H1,G4020,,,,A,"510875757","21152699","+36.7272577","-085.1360977","0","20903","0","20250","12932","2620","824","2374","255716","1528","57955","2176","4155","197958","10052","1637","66"
"39","063","01074044","39063",Hancock,Hancock County,"06",H1,G4020,"534","22300",,A,"1376124980","6021322","+41.0002170","-083.6659471","0","9851","0","84624","49946","18310","8609","1632","93902","490","566","20","6246","15881","1235037","7113","3492"
"48","189","01383880","48189",Hale,Hale County,"06",H1,G4020,"352","38380",,A,"2602109423","246678","+34.0684364","-101.8228879","0","5626","0","103645","25080","6979","3132","2223","354","7","71","3922","792157","2942","1932547","57","12773"
"01","027","00161539","01027",Clay,Clay County,"06",H1,G4020,,,,A,"1564255426","5281616","+33.2703999","-085.8635254","0","5769","0","67815","3871","1278","374","1419","746545","471193","105317","92402","58774","171211","527","16702","734"
"48","011","01383791","48011",Armstrong,Armstrong County,"06",H1,G4020,"108","11100",,A,"2354617585","12183672","+34.9641790","-101.3566363","0","7583","0","35451","4943","377","70","9490","20768","168520","293","783661","1099566","162","477544","1305","20048"
"39","003","01074015","39003",Allen,Allen County,"06",H1,G4020,"338","30620",,A,"1042587389","11152061","+40.7716274","-084.1061032","0","12154","0","100755","67102","21695","13372","560","93753","745","860","25","8242","36984","808227","3393","2942"
